,E.name,E.countries,total
0,DECARIA COMPANY LTD.,Samoa,2
1,DRAGONTLY TELECOMMUNICATIONS INC.,Samoa,15
2,FOREVER FAITH FINANCE LTD.,Seychelles,20
3,AGAMENON INVESTMENTS LIMITED,Spain,2
4,FOXBOURNE LIMITED,Luxembourg,2
5,MUSINTON INTERNATIONAL LIMITED,Switzerland,1
6,TROPIC RAIN S.A.,Switzerland,20
7,ON LINE TECHNOLOGIES LTD.,China,4
8,CASSIDY S.A.,Switzerland,6
9,BEKINGTON S.A.,Switzerland,1
10,NUKA B.V.,Samoa,1
11,KILASHANDRA INC.,Switzerland,24
12,WORLDWIDE DIRECTORS LTD.,Switzerland,2
13,HONG KONG FINANCE CORPORATION,Hong Kong,2
14,INTERNATIONAL ASSET MANAGERS S.A.,Switzerland,2
15,STAROIL LTD.,Switzerland,4
16,PAULIN BERTRAND S.A.,Switzerland,1
17,COREX HOLDING S.A.,Switzerland,2
18,EURO MANAGEMENT LIMITED,Switzerland,2
19,MARYLAND DEVELOPMENT GROUP LIMITED,Hong Kong,1
20,POLLUX INC.,Switzerland,2
21,PALLISSER & PENDERGAST INC.,Samoa,1
22,GALATEE CORP.,Switzerland,1
23,CASTEL LTD.,Switzerland,2
24,Sparta Oil Inc.,Lebanon,1
25,ARION ENTERPRISES LIMITED,Switzerland,4
26,BODY & BEAUTY LIMITED,United Kingdom,1
27,KEY LINE PACIFIC LIMITED,United Arab Emirates,2
28,BANCHEM CORPORATION,Switzerland,1
29,GOLDTRADE INTERNATIONAL FINANCE LIMITED,Hong Kong,1
30,EVEREST ASSETS LIMITED,Switzerland,1
31,MORLAND ASSETS INC.,Luxembourg,2
32,AMPERE ENTERPRISES LTD.,Venezuela,1
33,QUEPO MARKETING LTD.,Switzerland,1
34,SANFOR CAPITAL S.A.,Morocco,1
35,CUMBERLAND HOLDINGS GROUP LIMITED,Switzerland,1
36,HEALL INC.,Russia,30
37,PTERANODON LIMITED,Mali,1
38,GREENMOUNT REAL ESTATE LTD.,Switzerland,1
39,TEMVEST LTD.,Switzerland,1
40,TERNFORD SERVICES LTD.,Switzerland,1
41,LANCOR CORP.,Panama,3
42,SOLENT INVESTMENTS LIMITED,Switzerland,1
43,GRADINE MANAGEMENT INC.,Switzerland,1
44,CORDIALITE BUSINESS S.A.,Switzerland,2
45,SIRMOS MARKETING LTD.,Switzerland,1
46,BOSCALITO INC.,Liechtenstein,2
47,ENGARO LTD.,Panama,4
48,AMTAAM INVESTMENTS LTD.,Luxembourg,2
49,EASTMEAD HOLDINGS S.A.,Bahamas,1
50,LIGHTCLIFFE LAND LIMITED,Guernsey,1
51,STEADVALE LIMITED,Jersey,1
52,ARKOS INC.,Monaco,2
53,HAGEN SHIPPING LTD.,Ireland,2
54,CLEAR INVESTMENTS S.A.,Gibraltar,1
55,KAMALON LIMITED,Luxembourg,12
56,GREENWICH CONSULTANTS LIMITED,Switzerland,1
57,MAIBACH INC.,Luxembourg,2
58,FILOMEY BUSINESS LTD.,Switzerland,1
59,STARPEAK LIMITED,Hong Kong,1
60,RAYBURN PROPERTY S.A.,Switzerland,1
61,TILAWA HOLDINGS LIMITED,Switzerland,5
62,LENDY HOLDINGS INC.,Switzerland,2
63,GHOBIS S.A.,Panama,2
64,VALUE PLUS REALTY INC.,Switzerland,2
65,ALPINE ASSOCIATES CONSULTANTS LTD.,Switzerland,1
66,DOUBLE LAKE INC.,Switzerland,1
67,UNITED MAX FINANCE LIMITED,Hong Kong,1
68,LITAR ASSOCIATES INC.,Switzerland,1
69,ALMATY EXPLORATION LTD.,Jersey,1
70,KIRWEE FINANCIAL S.A.,,1
71,DELWAY HOLDINGS INC.,Bahamas,5
72,CORBIN ENTERPRISES LIMITED,Switzerland,1
73,TIDEFORD INCORPORATED,Switzerland,6
74,SANDCASTLE PACIFIC LIMITED,Switzerland,1
75,CARILEN S.A.,Switzerland,1
76,AURORA OVERSEAS SHIPPING LIMITED,Switzerland,3
77,ROLAND INVEST GROUP LTD,Estonia,1
78,POLLARD TRADING LIMITED,Switzerland,1
79,NATOMA PROPERTIES INC.,Switzerland,2
80,STANHOPE CAPITAL LIMITED,Russia,1
81,KANOWNA FINANCE HOLDINGS LTD.,Jersey,2
