E.countries,total
Andorra,938
Anguilla,4
Antigua and Barbuda,17
Antigua and Barbuda;British Virgin Islands,3
Antigua and Barbuda;Not identified,2
Argentina,60
Aruba,5
Australia,4
Austria,3
Azerbaijan,1
Bahamas,1777
Barbados,4
Belarus,3
Belgium,22
Belize,52
Bermuda,6
Bolivia,4
Brazil,1246
British Virgin Islands,156
British Virgin Islands;Antigua and Barbuda,1
British Virgin Islands;Barbados,1
British Virgin Islands;Canada,2
British Virgin Islands;Curaçao,1
British Virgin Islands;Cyprus,6
British Virgin Islands;Czech Republic,5
British Virgin Islands;France,1
British Virgin Islands;Hong Kong,11
British Virgin Islands;Luxembourg,3
British Virgin Islands;Not identified,2
British Virgin Islands;Panama,21
British Virgin Islands;Russia,33
British Virgin Islands;Saint Kitts and Nevis,1
British Virgin Islands;Singapore,2
British Virgin Islands;United Arab Emirates,1
British Virgin Islands;United Kingdom,22
British Virgin Islands;United States,23
Bulgaria,3
Canada,46
Canada;British Virgin Islands,1
Canada;Not identified,14
Cayman Islands,12
Chile,73
China,13
Colombia,472
Costa Rica,224
Curaçao,6
Cyprus,652
Cyprus;British Virgin Islands,5
Cyprus;Not identified,4
Czech Republic,22
Czech Republic;British Virgin Islands,10
Czech Republic;Not identified,9
Côte d'Ivoire,10
Denmark,3
Djibouti,1
Dominica,24
Dominican Republic,263
Ecuador,418
Egypt,1
El Salvador,111
Estonia,41
Finland,5
France,49
France;British Virgin Islands,1
Germany,118
Gibraltar,156
Greece,156
Guatemala,885
Guernsey,513
Hong Kong,2005
Hong Kong;British Virgin Islands,7
Hong Kong;Not identified,2
Hungary,58
Iceland,13
India,6
Ireland,111
Isle of Man,230
Israel,303
Italy,113
Japan,3
Jersey,751
Jordan,170
Kenya,4
Kuwait,25
Latvia,18
Latvia;Not identified,1
Lebanon,475
Liechtenstein,534
Lithuania,7
Luxembourg,14892
Luxembourg;British Virgin Islands,1
Luxembourg;Not identified,2
Macao,2
Malaysia;British Virgin Islands,1
Mali,1
Malta,104
Mauritius,122
Mexico,7
Monaco,3403
Montenegro,4
Morocco,9
Netherlands,48
New Zealand,11
Nicaragua,6
Niue,2
Norway,2
Not identified;Antigua and Barbuda,1
Not identified;British Virgin Islands,2
Not identified;Canada,8
Not identified;Cyprus,1
Not identified;Czech Republic,12
Not identified;Hong Kong,2
Not identified;Mexico,1
Not identified;Panama,5
Not identified;Russia,11
Not identified;United Kingdom,8
Not identified;United States,16
Panama,3573
Panama;British Virgin Islands,36
Panama;Not identified,5
Paraguay,80
Peru,19
Philippines,6
Poland,27
Portugal,195
Qatar,14
Romania,4
Russia,852
Russia;British Virgin Islands,38
Russia;Not identified,9
Saint Kitts and Nevis,6
Samoa,2969
Saudi Arabia,12
Seychelles,1242
Seychelles;British Virgin Islands,1
Singapore,201
Singapore;Not identified,1
Sint Maarten (Dutch part),1
South Africa,5
Spain,392
Sweden,12
Sweden;British Virgin Islands,1
Switzerland,24178
Taiwan,6
Thailand,20
Turkey,48
Turks and Caicos Islands,1
Ukraine,16
Ukraine;British Virgin Islands,1
United Arab Emirates,910
United Arab Emirates;British Virgin Islands,2
United Kingdom,1210
United Kingdom;British Virgin Islands,23
United Kingdom;Not identified,15
United States,742
United States;British Virgin Islands,14
United States;Not identified,18
Uruguay,2142
Uzbekistan,4
Venezuela,430
