e.countries,count(e)
Hong Kong,37911
Switzerland,37911
Panama,15811
Jersey,14331
Luxembourg,10840
United Kingdom,9619
Guernsey,7327
United Arab Emirates,7269
Bahamas,4984
Uruguay,4906
Isle of Man,4892
Russia,4197
Singapore,4081
Cyprus,3613
China,3213
Monaco,3168
United States,3066
Taiwan,2725
Liechtenstein,2066
Gibraltar,2039
Colombia,1854
Ecuador,1852
Samoa,1613
Jordan,1553
Brazil,1399
Latvia,1380
Belize,1351
Guatemala,1233
Mauritius,1217
Spain,1166
British Virgin Islands,1107
Thailand,963
Costa Rica,886
Estonia,880
None,790
Venezuela,749
Seychelles,683
Malta,676
Israel,663
Andorra,489
Lebanon,486
Dominican Republic,486
Niue,372
Canada,347
Italy,346
Ireland,322
France,285
Ukraine,274
Argentina,270
Portugal,243
El Salvador,234
Greece,222
Saint Kitts and Nevis,189
Netherlands,177
Germany,173
Poland,158
Bermuda,142
Chile,140
Paraguay,127
South Africa,108
Cayman Islands,106
Saudi Arabia,106
Turkey,101
Bolivia,95
Australia,94
Hungary,90
New Zealand,73
Dominica,66
Mexico,65
Finland,65
Kuwait,60
Belgium,59
Sweden,55
Peru,52
Bulgaria,50
Morocco,41
Philippines,40
Egypt,38
Malaysia,36
Czech Republic,34
Barbados,34
Lithuania,33
Curaçao,30
Indonesia,28
Qatar,27
Aruba,27
Kenya,25
Macao,25
Japan,24
Austria,24
Honduras,24
Anguilla,23
Côte d'Ivoire,21
Slovenia,21
Nigeria,21
Antigua and Barbuda,21
India,21
Belarus,16
Iceland,15
Denmark,14
Norway,14
Bahrain,13
Montenegro,13
Nicaragua,12
Turks and Caicos Islands,12
Cuba,11
Chad,11
Angola,10
South Korea,8
Haiti,8
Zimbabwe,8
Azerbaijan,8
Mali,8
Romania,7
Viet Nam,7
Saint Vincent and the Grenadines,6
Botswana,6
Trinidad and Tobago,6
Uzbekistan,5
Saint Lucia,4
Iran,4
Syria,4
Tunisia,4
U.S. Virgin Islands,4
Jamaica,4
Kazakhstan,4
Vanuatu,4
Mozambique,3
Ghana,3
Senegal,3
Croatia,3
Pakistan,3
Sri Lanka,3
Tanzania,3
Macedonia,2
Namibia,2
Libya,2
Oman,2
Moldova,2
Bangladesh,2
Albania,2
Zambia,2
American Samoa,1
Sudan,1
Lesotho,1
Georgia,1
Yemen,1
Liberia,1
Cook Islands,1
Sint Maarten (Dutch part),1
Djibouti,1
Nauru,1
Uganda,1
Puerto Rico,1
Malawi,1
Guam,1
Central African Republic,1
Brunei,1
Cameroon,1
Slovakia,1
