Country,CPI score 2015,Sources 2015,Standard error 2015
Denmark,91,7,2.16
New Zealand,91,7,2.32
Finland,90,7,1.77
Singapore,85,8,2.02
Sweden,89,7,1.71
Switzerland,86,6,2.55
Norway,88,7,2.24
Netherlands,84,7,1.98
Germany,81,7,2.5
Luxembourg,85,5,1.6
Australia,79,8,1.5
Canada,83,7,1.63
Hong Kong,75,7,2.48
United Kingdom,81,7,2.4
Austria,76,7,1.76
Belgium,77,7,1.34
Estonia,70,9,2.79
Iceland,79,5,4.53
Japan,75,8,2.96
Ireland,75,6,4.92
United Arab Emirates,70,7,5.07
Uruguay,74,6,1.68
France,70,7,2.49
Bhutan,65,4,2.14
Chile,70,8,2.15
United States of America,76,8,3.47
Seychelles,55,3,8.5
Taiwan,62,7,3.78
Barbados,67,3,7.5
Bahamas,68,3,3.1
Qatar,71,6,6.63
Spain,58,7,4.07
"Korea, South",54,9,2.29
Portugal,64,7,2.5
Botswana,63,6,2.35
Brunei Darussalam,68,3,9.62
Israel,61,6,2.78
Lithuania,59,8,1.92
Slovenia,60,9,2.93
Saint Vincent and the Grenadines,61,3,3.62
Cabo Verde,55,4,6.16
Costa Rica,55,6,2.71
Cyprus,61,5,4.17
Latvia,56,8,2.76
Georgia,52,5,6.53
Poland,63,9,2.59
Saint Lucia,65,3,3.82
Dominica,58,3,1.59
Czechia,56,9,2.21
Oman,45,5,6.69
Rwanda,54,5,6.42
Grenada,56,3,4.63
Italy,44,7,2.5
Malta,60,4,1.32
Mauritius,53,4,1.49
Saudi Arabia,52,5,7.03
Malaysia,50,8,3
Namibia,53,5,2.75
Greece,46,7,5.08
Armenia,35,5,2.98
Jordan,53,7,3
Slovakia,51,8,3.63
Belarus,32,6,4.37
Croatia,51,9,2.02
Cuba,47,4,3.64
Sao Tome and Principe,42,3,5
Montenegro,44,4,4.87
Senegal,44,8,2.61
Bulgaria,41,9,2.43
Hungary,51,9,3.73
Jamaica,41,6,1.68
Romania,46,9,3.11
South Africa,44,7,2.61
Tunisia,38,6,2.17
Ghana,47,8,2.82
Maldives,36,3,5.66
Vanuatu,71,3,3.93
Argentina,32,7,1.84
Bahrain,51,5,7.86
China,37,8,2.34
Kuwait,49,5,4.51
Solomon Islands,42,3,3.34
Benin,37,5,4.43
Guyana,29,4,3.01
Lesotho,44,5,4.99
Burkina Faso,38,7,2.97
India,38,8,3.14
Morocco,36,6,3.85
Timor-Leste,28,3,5.17
Trinidad and Tobago,39,4,4.64
Turkey,42,8,2.02
Colombia,37,7,1.94
Ecuador,32,6,2.86
Brazil,38,7,5.29
Ethiopia,33,8,2.73
Kazakhstan,28,8,4.9
Peru,36,7,3.05
Serbia,40,7,3.9
Sri Lanka,37,7,2.09
Suriname,36,3,3.21
Tanzania,30,8,3.49
Gambia,28,5,6.67
Indonesia,36,8,3.39
Albania,36,7,3.58
Algeria,36,5,1.85
Cote d'Ivoire,32,8,2.65
El Salvador,39,6,2.26
Kosovo,33,3,2.19
Thailand,38,8,2.12
Vietnam,31,8,2.56
Bosnia and Herzegovina,38,6,1.71
Mongolia,39,8,1.76
North Macedonia,42,6,5.27
Panama,39,6,3.01
Moldova,33,8,2.88
Philippines,35,8,1.92
Egypt,36,6,2.47
Eswatini,43,3,2.98
Nepal,27,5,2.73
Sierra Leone,29,8,3.44
Ukraine,27,8,1.93
Zambia,38,8,2.55
Niger,34,5,4.16
Bolivia,34,7,3.58
Kenya,25,8,3.02
Kyrgyzstan,28,6,2.29
Mexico,31,8,3.02
Pakistan,30,7,3.12
Azerbaijan,29,6,3.25
Gabon,34,4,1.65
Malawi,31,8,2.41
Mali,35,6,1.89
Russia,29,8,2.52
Laos,25,4,5.31
Mauritania,31,5,5.07
Togo,32,5,3.04
Dominican Republic,33,6,2.63
Guinea,25,6,3.16
Liberia,37,7,4.22
Myanmar,22,7,2.82
Paraguay,27,5,2.85
Angola,15,5,1.8
Djibouti,34,3,9.07
Papua New Guinea,25,5,4.22
Uganda,25,8,3.19
Bangladesh,25,7,4.3
Central African Republic,24,4,1.44
Uzbekistan,19,6,2.71
Cameroon,27,8,3.26
Guatemala,28,6,3.46
Iran,27,6,3.28
Lebanon,28,6,3.22
Madagascar,28,7,2.99
Mozambique,31,7,1.97
Nigeria,26,8,2.24
Tajikistan,26,5,7.36
Honduras,31,7,4.12
Zimbabwe,21,8,4.54
Nicaragua,27,7,2.5
Cambodia,21,7,3.87
Chad,22,5,2.35
Comoros,26,3,8.76
Eritrea,18,4,8.15
Iraq,16,4,2.5
Afghanistan,11,4,3.49
Burundi,21,5,2.94
Congo,23,6,4.11
Guinea Bissau,17,4,2.63
Turkmenistan,18,4,2.38
Democratic Republic of the Congo,22,6,3.35
Haiti,17,5,2.74
"Korea, North",8,3,3.38
Libya,16,5,3.18
Equatorial Guinea,19,3,2.2
Sudan,12,6,3.64
Venezuela,17,7,2.64
Yemen,18,6,2.66
Syria,18,4,5.66
Somalia,8,4,2.32
South Sudan,15,3,1.45
