entity,category,node_type,pagerank,degree,country
"""Centre D' Affaires Internationales"" (Asia) Ltd",Pandora Papers,[Entity],0.405000001192093,0,British Virgin Islands
€-CONOMBOX S.A,Pandora Papers,[Entity],0.277782082557678,0,NULL
ŽARKO DAMJANAC,Pandora Papers,[Officer],0.150000005960464,1,NULL
"1 CHARLES ST SOUTH PH1B, INC",Pandora Papers,[Entity],0.405000001192093,0,British Virgin Islands
100 NEW BRIDGE STREET LTD,Pandora Papers,[Entity],0.405000001192093,0,British Virgin Islands
101XP.COM LIMITED,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
101XP.COM LIMITED,Pandora Papers,[Entity],0.277782082557678,0,NULL
109 BAKER STREET LTD,Pandora Papers,[Entity],0.405000001192093,0,British Virgin Islands
119 BERKELEY COURT LTD,Pandora Papers,[Entity],0.405000001192093,0,British Virgin Islands
12c Wentworth Villa NW11 Ltd.,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
130 SHAFTESBURY AVENUE LTD,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
139 WESTAR HOUSE MARYLEBONE LTD,Pandora Papers,[Entity],0.405000001192093,0,British Virgin Islands
1833 MicroEconomy Limited,Pandora Papers,[Entity],0.532500028610229,0,British Virgin Islands
18NY HOLDING LIMITED,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
18NY HOLDING LIMITED,Pandora Papers,[Entity],0.28812500834465,0,NULL
1936 Holdings Limited,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
21C ADVISORY LTD,Pandora Papers,[Entity],1.04250001907349,0,British Virgin Islands
230 VAUXHALL BRIDGE ROAD LTD,Pandora Papers,[Entity],0.532500028610229,0,British Virgin Islands
24 Melton Court Ltd.,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
2a Limited,Pandora Papers,[Entity],0.277782082557678,0,NULL
2M EXECUTIVE AVIATION LIMITED,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
360 DIGITAL BYTES INC,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
3C-Hospitality Ltd,Pandora Papers,[Entity],0.277782082557678,0,NULL
3E & S Group Ltd.,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
3J LIMITED,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
3L ENGINEERING LTD,Pandora Papers,[Entity],0.192499995231628,0,British Virgin Islands
3L ENGINEERING LTD,Pandora Papers,[Entity],0.234999999403954,0,British Virgin Islands
3MSGLOBAL CORP,Pandora Papers,[Entity],0.277782082557678,0,NULL
"3PL LOGISTICS, INC",Pandora Papers,[Entity],0.405000001192093,0,NULL
4 Flats Limited,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
4 Me Corporation,Pandora Papers,[Entity],0.532500028610229,0,British Virgin Islands
4 Wood Ltd.,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
4 YOU CORPORATION,Pandora Papers,[Entity],0.532500028610229,0,British Virgin Islands
414/1127 MINORITY HOLDINGS LTD.,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
44 BROOK GREEN LTD,Pandora Papers,[Entity],0.405000001192093,0,British Virgin Islands
4CAST CONSULTING CORPORATION,Pandora Papers,[Entity],0.277782082557678,0,NULL
4G CAPITALS LIMITED,Pandora Papers,[Entity],0.277500003576279,0,British Virgin Islands
4i Capital Partners Limited,Pandora Papers,[Entity],0.27794736623764,0,NULL
