entity,num_bearer
VELA GAS INVESTMENTS LTD.,492
GNG LTD.,200
BOB AGENTS LIMITED,165
3 DIP S.A.,110
INGELSA LTD.,107
ALDEBARAN ASSET MANAGEMENT LTD.,101
AMANZI CORPORATION,100
CAPOMONDO INTERNATIONAL LTD.,100
WINESELECTION S.A.,100
EARLY BIRD LIMITED,100
VS Investments Limited,100
MEGATRONIC SERVICES S.A.,100
NOBLE MOBILE LTD.,100
AZARD SERVICES LTD.,100
LYNX CONSULTANTS INC.,100
KEINES INVESTMENTS LIMITED,99
SUNAIR ELECTRONICS IBEROAMERICA INC.,81
ROKA RWANDA COLUMBO TANTALITE COLTAN III CORP,70
JUMP.COM HOLDING INC.,69
ROKA RWANDA COLUMBO TANTALITE COLTAN II CORP.,58
BEST TOP TRADING LTD.,58
GRIMBLE & MASH LTD.,55
ADVEST LIMITED,55
EUROAMERICAN FINANCE CORPORATION INC.,54
CHIQUE TRADING CORPORATION,54
HERMITAGE INVESTMENTS GROUP LTD.,54
VENADO COMPANY INCORPORATED PANAMA,54
HEADWAY OVERSEAS S.A.,53
TRILUX DEVELOPMENT S.A.,50
GREENLEA S.A.,50
LA LIBERTAD INTERNATIONAL GROUP S.A.,50
CLEMCO PROPERTIES LIMITED,50
SALOMON CAPITAL HOLDINGS LTD.,50
DELFOS ROSTY LTD.,50
ASKARI LTD.,50
LENBOURNE COMPANY INC.,50
ALBEE TECHNOLOGIES LIMITED,50
GEOPAR INVESTMENTS CORP.,50
FARIFAX LIMITED,48
MOON VALLEY LIMITED,46
BRONFORD INTERNATIONAL S.A.,41
VERYSELL GROUP HOLDING LIMITED,40
METALLURGY & CHEMISTRY PRODUCTS LIMITED,38
VICARD SYSTEMS LTD.,37
EUROPEAN INVESTMENTS & CONSULTANTS S.A.,36
CERTAINE LIMITED,36
KILASHANDRA INC.,35
HORSLER MANAGEMENT INC.,34
LENAPE GLOBAL S.A.,33
DUNDEE PROPERTIES S.A.,33
THE PRESIDENT INC.,31
LANEWOOD HOLDINGS S.A.,31
COMPANHIA SAN PEDRO PANAMA S.A.,31
COOPER FINANCE LTD.,30
ROKA GUINEA (CONAKRY) URANIUM S.A.,30
HEALL INC.,30
TOLKIEN LIMITED,30
LAS RESOURCES LIMITED,30
